regime,slots,d_model,dropout,alpha,n_seeds,bal_mean,bal_std,reg_mean,reg_std,irr_mean,irr_std,wug_reg_mean,wug_irr_mean
natural,False,64,0.3,1.0,3,0.5289,0.05056678751908212,0.956,0.0024062418831032072,0.10176666666666667,0.10004680571279292,54.666666666666664,0.3333333333333333
natural,True,64,0.1,1.0,3,0.5285333333333334,0.03407878127711338,0.9344666666666667,0.011862686598462117,0.1226,0.07036355590787038,54.333333333333336,2.3333333333333335
oversample,False,128,0.1,0.25,3,0.5272666666666667,0.011557825631723879,0.9110666666666667,0.04855124440561063,0.14343333333333333,0.04996862348847859,49.0,0.6666666666666666
natural,False,128,0.1,0.5,3,0.5264333333333333,0.024601693708631772,0.9095000000000001,0.0022271057451320425,0.14343333333333333,0.04996862348847859,46.333333333333336,1.0
oversample,True,128,0.1,0.25,3,0.5222,0.025741212092673472,0.9042,0.047594537501692354,0.14013333333333333,0.0704507156339333,46.666666666666664,2.0
natural,True,128,0.1,2.0,3,0.5164000000000001,0.05699508750760894,0.9310999999999999,0.014297901943991623,0.10176666666666667,0.10004680571279292,53.333333333333336,2.3333333333333335
natural,True,64,0.3,0.25,3,0.5162,0.050215834156170265,0.9482666666666667,0.018250570767330346,0.0842,0.10367699841334144,50.666666666666664,0.3333333333333333
natural,False,128,0.1,0.25,3,0.5161666666666667,0.034691833813353445,0.8680666666666667,0.02115569269329968,0.16426666666666667,0.051447675684459584,45.333333333333336,0.3333333333333333
natural,True,128,0.1,0.5,3,0.5151333333333333,0.035530597142932066,0.9077333333333333,0.012433958876131617,0.1226,0.07036355590787038,44.666666666666664,2.0
oversample,True,64,0.1,2.0,3,0.5149333333333334,0.06727921917898075,0.8947666666666666,0.01890405600217407,0.1351,0.15220390927962396,49.333333333333336,3.0
natural,True,128,0.1,1.0,3,0.5103666666666666,0.05040162034432362,0.9189666666666666,0.003971565602295086,0.10176666666666667,0.10004680571279292,53.0,2.0
natural,True,128,0.2,0.25,3,0.503,0.04975911976713412,0.9042666666666666,0.038857989311508835,0.10176666666666667,0.10004680571279292,47.0,1.6666666666666667
natural,True,64,0.1,0.25,3,0.4991666666666667,0.05139186057473821,0.8965666666666666,0.009000740710260087,0.10176666666666667,0.10004680571279292,48.0,0.6666666666666666
natural,True,128,0.1,0.25,3,0.4963,0.04119332470194658,0.8491333333333332,0.036335152859639,0.14343333333333333,0.04996862348847859,46.0,0.3333333333333333
